NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
La Unión Ferroviaria (obreros y empleados de los ferrocarriles Andaluces). . . .;1899;Mejorar las condiciones de trabajo;MÁLAGA;MÁLAGA;25;;;;25
Asociación del Arte de Imprimir y similares;1900;Idem;Idem;MÁLAGA;70;;;;70
. Sociedad de Oficiales y Ayudantes de Confitería y Pastelería;1900;Idem;Idem;MÁLAGA;67;;;;67
Porvenir en el Trabajo (albaniles);1900;Idem;Idem;MÁLAGA;2600;;;;2600
La Unión (hortelanos)..............;1901;Idem;Idem;MÁLAGA;52;;;;52
Senefelder (litógrafos);1901;Idem;Idem;MÁLAGA;53;;2;;55
El Progreso (carpinteros y ebanistas)........ ... ..;1901;Idem;Idem;MÁLAGA;372;;;;372
Sociedad de Pintores.;1901;Idem;Idem;MÁLAGA;100;;;;100
Fahon (carreros) . . . . . . . . . . . . . . . . . ..;1901;Idem;Idem;MÁLAGA;200;;1;;201
Sociedad de Esparteros. . . . . . . . . . . .. . . . . . . . . . . . . .;1901;Idem;Idem;MÁLAGA;22;;;;22
La Verdad en el Trabajo (albañiles)…;1902;Idem;Idem;MÁLAGA;200;;;;200
La Uva (agricultores);1902;Idem;Idem;MÁLAGA;102;;;;102
La Vegetación (agricultores).. . . . . . . . . . . . . . . . . . ..;1902;Idem;Idem;MÁLAGA;341;;3;9;353
Sociedad de Dependientes de comercio.. . . . . . . . . ..;1903;Idem;Idem;MÁLAGA;330;;12;;342
El Cimiento... . . . . . . . . . . . • . . . . . • . . . . . . . . . . . . . . • .;1904;Idem;Idem;MÁLAGA;25;;;;25
Unión Maritima (estivadores del puerto);1904;Idem;Idem;MÁLAGA;150;;;;150
Federación de las Sociedades agrícolas andaluzas.;1901;Idem;Idem;MÁLAGA;3000;;;;3000
Federación de Sociedades Obreras;1902;Idem;Idem;MÁLAGA;?;;;;0
Asociación Benéfica Obrera. . . . . . . . . . . . . . . . . . . . . .;1900;Socorro mutuo ;Idem;MÁLAGA;1700;;;;1700
La Unión Social (agrupación socialista)..........;1885;Política de partido;Idem;MÁLAGA;92;;;;92
Círculo Republicano Instructivo Obrero de sexto distrito .........•. , .... .... ... ..• .....•.. ....•.;1904;Idem;Idem;MÁLAGA;150;;;;150
"Juventud Socialista "" ,";1904;Política de partido ...............;Idem;MÁLAGA;20;;;;20
Adelante ' . . . . . . . . . . . . . . . . . . . . . . . . .;1899;Instrucción y recreo..............;Idem. ....... -oo.;MÁLAGA;25;;;;25
"Centro Obrero del barrio de San Rafael. "" . . . . . . . .";1903;ldem...........................;ldem..........•;MÁLAGA;52;;1;;53
Germinal Obrera.. . • . . . . . . . . . . . . . . . . . . . . . . ... . . • .;1902;Mejorar las condiciones del trabajo.;Antequera (Villanueva de la Concepción) ..;MÁLAGA;150;;;;150
Los Esclavos del Terruno.. . . . . . . . . . . . . . . • .;1904;Idem....•••................•..;Campillos. ~ ......;MÁLAGA;1003;;;;1003
Mar y Tierra. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .;1902;ldem..........................;Marbella ....•....;MÁLAGA;150;;;;150
Sociedad Obrera de Instrucción y Socorros mutuos;1902;Socorro mutuo. ...................;ldem. . .........;MÁLAGA;252;;;1;253
Sociedad de Obreros agricultores.. ' '.. ,;1899;Mejorar las condiciones del trabajo.;Ronda............;MÁLAGA;34;;;;34
"Las Ocho Horas (albañiles) ......•... , """;1903;ldem............................;Idem...........;MÁLAGA;135;;1;;136
. Sociedad de Obreros agricultores;1901;Idem;Idem;MÁLAGA;65;;;;65
La Obra (obreros alpargateros);1904;Idem;Idem;MÁLAGA;21;;;;21
Agrupacion Socialista;1893;Política de partido.  ..............;ldero. . ... -.....;MÁLAGA;12;;;;12
El Sarmiento (agricultores y sImIlares);1902;Mejorar las condiciones del trabajo. ;Vélez -Málaga (Chilehes) .......;MÁLAGA;50;;;;50
La Mar (pescadores);1902;ldem......... o •••• , •••••••••••;Vélez -Málaga (Torre del Mar) .......;MÁLAGA;117;;;;117
