NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales;Observaciones
Patronato del Obrero..... .......................;1879;Acción catolica;BARCELONA;BARCELONA;1675;;;435;2110;"Da conferencias quincenales e instruccion gratuita; reparte premios por acciones virtuosas; socorre en cicunstancias precarias"
Círculo Barcelonés de Obreros bajo la advocacion de San Jose;1886;Idem;Idem;BARCELONA;412;;;;412;Tiene una cooperativa de consumo
Centro Católico de Nuestra Señora de Monserrat y Patronato de Aspirantes;1894;Idem;Idem;BARCELONA;368;;;;368;"Sostiene escuelas nocturnas; cuenta con una Caja de Ahorros y un Montepio para enfermos e invalidos"
Sindicato de Obreros cerrajeros y mecanicos;1852;Mejorar las condiciones del trabajo.;Idem;BARCELONA;750;;;;750;
Sociedad Tres Secciones de Vapor.......•.........;1869;Idem;Idem;BARCELONA;1600;;;;1600;
Sociedad de Oficiales cerrajeros de obras......;1870;Idem;Idem;BARCELONA;400;;;;400;
"Sociedad de Oficiales toneleros .. ~ ............•• """;1870;Idem;Idem;BARCELONA;400;;;;400;
La Fraternidad (oficiales carpinteros del distrito 9);1872;Idem;Idem;BARCELONA;45;;;;45;
Sociedad de Aserradores mecánicos;1872;Idem;Idem;BARCELONA;333;;;;333;
Sociedad de Faquines del Comercio;1874;Idem;Idem;BARCELONA;400;;;;400;
Centro de Maquinistas y Cerrajerós mecánicos;1882;Idem;Idem;BARCELONA;125;;;;125;
Sociedad de Cilindradores y Aprestadores......•..;1887;Idem;Idem;BARCELONA;700;;;;700;
Unión de Grabadores en cilindros para estampados.;1888;Idem;Idem;BARCELONA;152;;;;152;
Asociación de Faquines de mudanza;1890;Idem;Idem;BARCELONA;52;;;;52;
Centro de Oficiales· carpinteros y Torneros modelistas;1891;Mejorar las condiciones del trabajo,;BARCELONA....;BARCELONA;70;;;;70;
Asociación y Hermandad de Vendedores de Encantes, Ferias y Mercados ......;1892;Idem;Idem;BARCELONA;70;;;2;72;
La Igualdad (dependientes de tiendas de despojos);1893;Idem;Idem;BARCELONA;150;;;;150;
La Económica.. ..;1895;Idem;Idem;BARCELONA;120;;;;120;
"Sociedad de Obreros cargadores, descargadores y estivadores de maderas '""";1895;Idem;Idem;BARCELONA;100;;;;100;
Sociedad de Obreros canteros de la montaña de Montjuich. . . .. . ..........•..;1895;Idem;Idem;BARCELONA;192;;;;192;
Gremio de Obreros fideeros bajo el amparo de la Purísima Concepción......;1897;Idem;Idem;BARCELONA;36;;1;;37;
La Unión (Sindicato de yeseros adornistas)...•.• ~;1898;Idem;Idem;BARCELONA;154;;;;154;
:La Espiga (obreros panaderos) '_.;1898;Idem;Idem;BARCELONA;490;;;;490;
Asociación de In Dependencia mercantil .....••...;1898;Idem;Idem;BARCELONA;738;111;;24;873;
La Abeja Constructora (yeseros revocadores de paredes)..............;1899;Idem;Idem;BARCELONA;73;;;;73;
La Solidaria (impresores litógrafos) ..•........•.;1899;Idem;Idem;BARCELONA;300;;;;300;
Sociedad del Arte de Imprimir ...•..•.......•...•;1899;Idem;Idem;BARCELONA;300;;;;300;
Unión del ramo de Ebanistería..................•;1899;Idem;Idem;BARCELONA;598;;2;;600;
El Centro (oficiales doradores) .....•.........••.•;1899;Idem;Idem;BARCELONA;86;;;;86;
"Unión de Oficiales escoberos ..•...... "" .....•...•";1899;Idem;Idem;BARCELONA;53;;;;53;
Unión de Oficiales tapiceros ..•....•......•...•••;1899;Idem;Idem;BARCELONA;80;;;;80;
La Defensa de Operarios del ramo de Ebanistería.;1900;Idem;Idem;BARCELONA;24;;;4;28;
La Unión Popular (obreros_curtidores)....;1900;Idem;Idem;BARCELONA;874;;;;874;
Sociedad de Peones de albañil;1900;Idem;Idem;BARCELONA;24;;;;24;
"Sociead de Oficiales y Aprendices fideeros """;1900;Mejorar las condiciones del trabajo.;Idem;BARCELONA;76;;;;76;
El Arte de la Sastrería. . ..........•......•......;1900;Idem;Idem;BARCELONA;100;;;;100;
Sociedad de Escultores tallistas en piedra y mármol;1900;Idem;Idem;BARCELONA;50;;;;50;
Sociedad de Obreros tintoreros de ropas usadas .;1900;Idem;Idem;BARCELONA;30;;;;30;
Sociedad de Oficiales y Aprendices albañiles .;1900;Idem;Idem;BARCELONA;150;;;;150;
Sociedad de Operarios sombrereros de la sección de plancha en todos sus ramos ..;1900;Idem;Idem;BARCELONA;204;;;;204;
Sindicato marítimo del Puerto •......•........•.;1900;Idem;Idem;BARCELONA;300;;;;300;
La Razón (obreros fogoneros marítimos y terrestres) ..............•.....•...•.......•.•.;1901;Idem;Idem;BARCELONA;1.112;;;;1.112;
Sociedad de Oficiales barberos y peluqueros .•....;1901;Idem;Idem;BARCELONA;56;;;;56;
Sociedad de Descargadores de carbón vegetal bajo el patronato de San Magín......;1902;Idem;Idem;BARCELONA;77;;;;77;
Sociedad de Operarios paragüeros y bastoneros en todos sus ramos........................••....•;1902;Idem;Idem;BARCELONA;60;;;;60;
Sociedad de Obreros tintoreros en lana y piezas.;1902;Idem;Idem;BARCELONA;110;;;;110;
Sociedad de Obreros marmolistas..•....•.........;1902;Idem;Idem;BARCELONA;400;;;;400;
Sindicato obrero del ramo de fonda marítima .;1902;Idem;Idem;BARCELONA;232;;12;;244;
Sociedad de Obreros carreteros..................•;1902;Idem;Idem;BARCELONA;3.000;;;;3.000;
Sociedad del Arte Fabril. ..............•..........;1903;Idem;Idem;BARCELONA;40;;;;40;
"Sociedad de Marineros trabajadores del puerto. "" .";1903;Idem;Idem;BARCELONA;50;;;;50;
Sindicato de Oficiales peluqueros y barberos .;1903;Idem;Idem;BARCELONA;453;;;;453;
"Unión barcelonesa de Obreros y Obreras tulistas y similares ,. '"" ••..•..• '"" ...••....";1903;Idem;Idem;BARCELONA;40;;;;40;
Agrupación profesional de los Obreros constructores de pianos .;1903;Idem;Idem;BARCELONA;130;;;;130;
La Alianza (obreros pintores) _ :.;1903;Idem;Idem;BARCELONA;12;;;;12;
Sociedad de Obreros pintores de coches;1903;Mejorar las condiciones del trabajo.;Idem;BARCELONA;90;;;;90;
Sociedad de Oficiales relojeros .......•........;1904;Idem;Idem;BARCELONA;5;;;;5;
Sociedad de Oficiales peluqueros del distrito siete;1904;Idem;Idem;BARCELONA;88;9;;;97;
La Rectitud (oficiales albañiles)...;1904;Idem;Idem;BARCELONA;60;;;;60;
Sociedad de Vendedores de loza y similares;1904;Idem;Idem;BARCELONA;40;;;;40;
La Redentora.;1889;Cooperativa de producción de ladrillos y similares;Idem;BARCELONA;149;;1;;150;
Cooperativa de Tejedores a mano;1873;.Cooperativa de consumo .;Idem;BARCELONA;40;;;;40;
La Fraternidad .. ;1879;Idem;Idem;BARCELONA;173;;;;173;
La Lealtad ......•...................;1892;Idem;Idem;BARCELONA;50;;;;50;
La Andresense. .;1896;Idem;Idem;BARCELONA;32;;;;32;
El Parque;1900;Idem;Idem;BARCELONA;19;;;;19;
La Vanguardia Obrera.;1901;Idem;Idem;BARCELONA;145;;;;145;
El Reloj..;1901;Idem;Idem;BARCELONA;58;;;;58;
El Porvenir Obrero . ....;1902;Idem;Idem;BARCELONA;22;;;;22;
La. Igualitaria. ..;1902;Idem;Idem;BARCELONA;85;;;15;100;
