NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
Circulo Católico de Obreros de San José .;1904;Acción católica.;Santander;SANTANDER;674;;3;450;1127
Sociedad de Impresores, Litógrafos y Encuadernadores .;1883;Mejorar las condiciones del trabajo.;Idem;SANTANDER;105;;;;105
Sociedad de Obreros panaderos. . .;1889;Idem;Idem;SANTANDER;43;;;;43
Sociedad de resistencia de Carpinteros .;1899;Idem;Idem;SANTANDER;181;;;;181
Unión de los Lateros montañeses .;1899;Idem;Idem;SANTANDER;70;;;;70
El Fígaro (oficiales peluqueros y barberos) .;1900;Idem;Idem;SANTANDER;42;;;;42
Sociedad de Mujeres conserveras .;1900;Idem;Idem;SANTANDER;250;;;;250
Sociedad de Obreros en hierro y demás metales .;1900;Idem;Idem;SANTANDER;37;;;;37
Sociedad de Albañiles .;1900;Idem;Idem;SANTANDER;43;;;;43
Sociedad de Trabajadoresdel muelle .;1900;Idem;Idem;SANTANDER;260;;;;260
Sociedad de Obreros curtidores .;1900;Idem;Idem;SANTANDER;?;?;?;?;?
Sociedad de Obreros marmolistas y similares .;1900;Idem;Idem;SANTANDER;180;;;;180
Sociedad de Obreros del gas y de la electricidad .;1901;Idem;Idem;SANTANDER;37;;;;37
Unión Cantábrica de Camareros y Cocineros .;1901;Idem;Idem;SANTANDER;151;;1;4;156
Sociedad de Aserradores mecánicos .;1902;Idem;Idem;SANTANDER;35;;;;35
Sociedad de Moldeadores y Modelistas .;1902;Idem;Idem;SANTANDER;70;;;;70
"Sociedad de Socorros mutuos de los talleres de San Martín .. '"" '"" .";1894;Socorro mutuo .;Idem;SANTANDER;61;;;1;62
Asociación mutua de Socorros de la Dependencia mercantil .;1900;Idem , . Idem;Idem;SANTANDER;85;;;25;110
"Sociedad Protectora de Cocheros "" .";1900;Idem . Idem;Idem;SANTANDER;34;;;2;36
Agrupacion socialista;1885;Política de partido .;Idem;SANTANDER;115;;;;115
Juventud Socialista .;1904;Política de partido .;Santander;SANTANDER;60;;;;60
Sociedad de Obreros canteros .;1901;Mejorar las condiciones del trabajo.;Castro-Urdiales .;SANTANDER;100;;;;100
Sociedad de Obreros conserveros .;1903;Idem;Idem;SANTANDER;40;;;;40
Sociedad de Obreros peones .;1903;Idem;Idem;SANTANDER;100;;;;100
Sociedad de Obreros en hierro y demás metales .;1904;Idem;Idem;SANTANDER;55;;;;55
Sociedad de resistencia de Obreros en general. . ..;1903;ldem;Castro Urdiales (Mioño);SANTANDER;54;;;;54
Agrupación Socialista ,;1901;Política de partido .;ldem .;SANTANDER;35;;;;35
"La Defensa (obreros panaderos) ... , ..... '"" .....";1903;Mejorar las condiciones del trabajo.;"Astillero '"" .";SANTANDER;30;;;;30
Hijos del Trabajo .;1889;Socorro mutuo , .;ldem .;SANTANDER;60;;;5;65
"Juventud Socialista; .";1904;Politica de partido;ldem .;SANTANDER;50;;;;50
Círculo Católico Obrero .;1898;Acción católica .;Astillero (Guarnizo) .;SANTANDER;60;;12;4;76
Sociedad Obrera. . . . . . . . . . . . . . . . . . . . ..;1902;Socorro mutuo .;Colindres ~ .;SANTANDER;7;;;;7
El Nivel;1903;Mejorar las condiciones del trabajo.;Penagos (Cabarceno);SANTANDER;155;;;;155
La Igualdad (Agrupacion socialista);1902;Politica de partido;Valle de Villaescusa (Liano);SANTANDER;35;;;;35
El Progreso;1904;Mejorar las condiciones del trabajo.;Valle de Villaescusa (Obregon);SANTANDER;65;;;;65
